name,type,longitude,latitude,source_file,location_addresstype,location_boundingbox,location_class,location_display_name,location_importance,location_lat,location_licence,location_lon,location_name,location_osm_id,location_osm_type,location_place_id,location_place_rank,location_type,address_ISO3166-2-lvl4,address_aeroway,address_amenity,address_city_district,address_country,address_country_code,address_county,address_emergency,address_hamlet,address_historic,address_isolated_dwelling,address_locality,address_municipality,address_neighbourhood,address_postcode,address_residential,address_road,address_state,address_tourism,address_town,address_village
"Feature-Barhabise to TshoRolpa (Line 1, Point 15)          ",MultiLineString,86.0326,27.8386,dataset/raw/Barhabise to TshoRolpa.json,city_district,"['27.8088281', '27.8718814', '86.0023737', '86.0966023']",boundary,"Bigu-07, Bigu, दोलखा, बागमती प्रदेश, 45510, नेपाल",0.16004000076295108,27.8402896,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",86.0528997345248,Bigu-07,6743313,relation,224605967,18,administrative,NP-P3,,,Bigu-07,नेपाल,np,दोलखा,,,,,,Bigu,,45510,,,बागमती प्रदेश,,,
"Feature-Barhabise to TshoRolpa (Line 1, Point 16)          ",MultiLineString,86.0515,27.8357,dataset/raw/Barhabise to TshoRolpa.json,road,"['27.8336910', '27.8377318', '86.0403343', '86.0513001']",highway,"Bigu - Choitang - Gaglate Road, Bigu-07, Bigu, दोलखा, बागमती प्रदेश, 45510, नेपाल",0.05337333409628439,27.8373414,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",86.0509233,Bigu - Choitang - Gaglate Road,946091289,way,224390720,26,tertiary,NP-P3,,,Bigu-07,नेपाल,np,दोलखा,,,,,,Bigu,,45510,,Bigu - Choitang - Gaglate Road,बागमती प्रदेश,,,
"Feature-Barhabise to TshoRolpa (Line 1, Point 17)          ",MultiLineString,86.07,27.8363,dataset/raw/Barhabise to TshoRolpa.json,road,"['27.8367943', '27.8395317', '86.0531533', '86.0718074']",highway,"Bigu - Choitang - Gaglate Road, Gyalwasin, Bigu-07, Bigu, दोलखा, बागमती प्रदेश, 45510, नेपाल",0.05337333409628439,27.838085868053554,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",86.06933420129278,Bigu - Choitang - Gaglate Road,340651368,way,224439871,26,tertiary,NP-P3,,,Bigu-07,नेपाल,np,दोलखा,,Gyalwasin,,,,Bigu,,45510,,Bigu - Choitang - Gaglate Road,बागमती प्रदेश,,,Bigu
"Feature-Barhabise to TshoRolpa (Line 1, Point 18)          ",MultiLineString,86.0845,27.8357,dataset/raw/Barhabise to TshoRolpa.json,road,"['27.8255410', '27.8361873', '86.0747861', '86.0897215']",highway,"Singati-Bigu Road, Sangba Bazar, Bigu-07, Chapsing, Bigu, दोलखा, बागमती प्रदेश, 45510, नेपाल",0.05337333409628439,27.8353893,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",86.083321,Singati-Bigu Road,1309206544,way,225974945,26,tertiary,NP-P3,,,Bigu-07,नेपाल,np,दोलखा,,Sangba Bazar,,,,Bigu,,45510,,Singati-Bigu Road,बागमती प्रदेश,,,Chapsing
"Feature-Barhabise to TshoRolpa (Line 1, Point 19)          ",MultiLineString,86.0874,27.8359,dataset/raw/Barhabise to TshoRolpa.json,road,"['27.8325719', '27.8387299', '86.0809454', '86.1023360']",highway,"Singati-Bigu Road, Nagara, Bigu-07, Alampu, Bigu, दोलखा, बागमती प्रदेश, 45510, नेपाल",0.05337333409628439,27.8344053,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",86.0884833,Singati-Bigu Road,1309206545,way,223783746,26,tertiary,NP-P3,,,Bigu-07,नेपाल,np,दोलखा,,Nagara,,,,Bigu,,45510,,Singati-Bigu Road,बागमती प्रदेश,,,Alampu
"Feature-Barhabise to TshoRolpa (Line 1, Point 20)          ",MultiLineString,86.0906,27.8346,dataset/raw/Barhabise to TshoRolpa.json,road,"['27.8325719', '27.8387299', '86.0809454', '86.1023360']",highway,"Singati-Bigu Road, Nagara, Bigu-07, Alampu, Bigu, दोलखा, बागमती प्रदेश, 45510, नेपाल",0.05337333409628439,27.83420764144062,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",86.09073134358593,Singati-Bigu Road,1309206545,way,223783746,26,tertiary,NP-P3,,,Bigu-07,नेपाल,np,दोलखा,,Nagara,,,,Bigu,,45510,,Singati-Bigu Road,बागमती प्रदेश,,,Alampu
"Feature-Barhabise to TshoRolpa (Line 1, Point 21)          ",MultiLineString,86.0949,27.8309,dataset/raw/Barhabise to TshoRolpa.json,road,"['27.8248170', '27.8340926', '86.0941968', '86.0965706']",highway,"Singati-Bigu Road, Pegu, Sangba Bazar, Bigu-07, Amanthali Bazar, Bigu, दोलखा, बागमती प्रदेश, 45510, नेपाल",0.05337333409628439,27.830993548369523,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",86.09516204098993,Singati-Bigu Road,1309206546,way,224866609,26,tertiary,NP-P3,,,Bigu-07,नेपाल,np,दोलखा,,Sangba Bazar,,,,Bigu,,45510,Pegu,Singati-Bigu Road,बागमती प्रदेश,,,Amanthali Bazar
"Feature-Barhabise to TshoRolpa (Line 1, Point 22)          ",MultiLineString,86.096,27.8265,dataset/raw/Barhabise to TshoRolpa.json,road,"['27.8248170', '27.8340926', '86.0941968', '86.0965706']",highway,"Singati-Bigu Road, Pegu, Sangba Bazar, Bigu-07, Amanthali Bazar, Bigu, दोलखा, बागमती प्रदेश, 45510, नेपाल",0.05337333409628439,27.8263849,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",86.0946471,Singati-Bigu Road,1309206546,way,224866609,26,tertiary,NP-P3,,,Bigu-07,नेपाल,np,दोलखा,,Sangba Bazar,,,,Bigu,,45510,Pegu,Singati-Bigu Road,बागमती प्रदेश,,,Amanthali Bazar
"Feature-Barhabise to TshoRolpa (Line 1, Point 23)          ",MultiLineString,86.0994,27.8272,dataset/raw/Barhabise to TshoRolpa.json,road,"['27.8190298', '27.8310356', '86.1015514', '86.1082489']",highway,"Chilankha-Syakhu-Alampu-Bigu Road, Bigu-05, Amanthali Bazar, Bigu, दोलखा, बागमती प्रदेश, 45510, नेपाल",0.05337333409628439,27.8270767,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",86.1015541,Chilankha-Syakhu-Alampu-Bigu Road,344458682,way,224300435,26,tertiary,NP-P3,,,Bigu-05,नेपाल,np,दोलखा,,,,,,Bigu,,45510,,Chilankha-Syakhu-Alampu-Bigu Road,बागमती प्रदेश,,,Amanthali Bazar
"Feature-Barhabise to TshoRolpa (Line 1, Point 24)          ",MultiLineString,86.1037,27.8225,dataset/raw/Barhabise to TshoRolpa.json,road,"['27.8190298', '27.8310356', '86.1015514', '86.1082489']",highway,"Chilankha-Syakhu-Alampu-Bigu Road, Bigu-05, Amanthali Bazar, Bigu, दोलखा, बागमती प्रदेश, 45510, नेपाल",0.05337333409628439,27.821909,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",86.1036772,Chilankha-Syakhu-Alampu-Bigu Road,344458682,way,224300435,26,tertiary,NP-P3,,,Bigu-05,नेपाल,np,दोलखा,,,,,,Bigu,,45510,,Chilankha-Syakhu-Alampu-Bigu Road,बागमती प्रदेश,,,Amanthali Bazar
"Feature-Barhabise to TshoRolpa (Line 1, Point 25)          ",MultiLineString,86.1128,27.8255,dataset/raw/Barhabise to TshoRolpa.json,road,"['27.8306418', '27.8415215', '86.1082489', '86.1166925']",highway,"Chilankha-Syakhu-Alampu-Bigu Road, Syakhu, Bigu-05, Alampu, Bigu, दोलखा, बागमती प्रदेश, 45510, नेपाल",0.05337333409628439,27.8306655,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",86.1101882,Chilankha-Syakhu-Alampu-Bigu Road,344458680,way,224178770,26,tertiary,NP-P3,,,Bigu-05,नेपाल,np,दोलखा,,Syakhu,,,,Bigu,,45510,,Chilankha-Syakhu-Alampu-Bigu Road,बागमती प्रदेश,,,Alampu
"Feature-Barhabise to TshoRolpa (Line 1, Point 26)          ",MultiLineString,86.1149,27.8257,dataset/raw/Barhabise to TshoRolpa.json,hamlet,"['27.7979665', '27.8379665', '86.1076189', '86.1476189']",place,"Pheldar, Bigu-05, Chilankha, Bigu, दोलखा, बागमती प्रदेश, नेपाल",0.1333733340962844,27.8179665,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",86.1276189,Pheldar,8710473705,node,225207720,20,hamlet,NP-P3,,,Bigu-05,नेपाल,np,दोलखा,,Pheldar,,,,Bigu,,,,,बागमती प्रदेश,,,Chilankha
"Feature-Barhabise to TshoRolpa (Line 1, Point 27)          ",MultiLineString,86.1176,27.8269,dataset/raw/Barhabise to TshoRolpa.json,hamlet,"['27.7979665', '27.8379665', '86.1076189', '86.1476189']",place,"Pheldar, Bigu-05, Chilankha, Bigu, दोलखा, बागमती प्रदेश, नेपाल",0.1333733340962844,27.8179665,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",86.1276189,Pheldar,8710473705,node,225207720,20,hamlet,NP-P3,,,Bigu-05,नेपाल,np,दोलखा,,Pheldar,,,,Bigu,,,,,बागमती प्रदेश,,,Chilankha
"Feature-Barhabise to TshoRolpa (Line 1, Point 28)          ",MultiLineString,86.122,27.8289,dataset/raw/Barhabise to TshoRolpa.json,amenity,"['27.8256555', '27.8257555', '86.1259001', '86.1260001']",amenity,"Shree Janta Pra V, Chilankha-Syakhu-Alampu-Bigu Road, Yarsa, Bigu-05, Chilankha, Bigu, दोलखा, बागमती प्रदेश, 45510, नेपाल",4.0000762951049326e-05,27.8257055,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",86.1259501,Shree Janta Pra V,5027958820,node,224178298,30,school,NP-P3,,Shree Janta Pra V,Bigu-05,नेपाल,np,दोलखा,,Yarsa,,,,Bigu,,45510,,Chilankha-Syakhu-Alampu-Bigu Road,बागमती प्रदेश,,,Chilankha
"Feature-Barhabise to TshoRolpa (Line 2, Point 1)           ",MultiLineString,86.2344,27.8714,dataset/raw/Barhabise to TshoRolpa.json,amenity,"['27.8713274', '27.8714274', '86.2338438', '86.2339438']",amenity,"Shri Choing Choling Gumba, NH28, Chetchet, Bigu-01, Lamabagar, Bigu, दोलखा, बागमती प्रदेश, नेपाल",5.000152590214416e-05,27.8713774,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",86.2338938,Shri Choing Choling Gumba,5045699845,node,225207629,30,school,NP-P3,,Shri Choing Choling Gumba,Bigu-01,नेपाल,np,दोलखा,,Chetchet,,,,Bigu,,,,NH28,बागमती प्रदेश,,,Lamabagar
"Feature-Barhabise to TshoRolpa (Line 2, Point 2)           ",MultiLineString,86.2355,27.8721,dataset/raw/Barhabise to TshoRolpa.json,amenity,"['27.8723352', '27.8723790', '86.2338728', '86.2339257']",amenity,"Guest House, NH28, Chetchet, Bigu-01, Lamabagar, Bigu, दोलखा, बागमती प्रदेश, नेपाल",5.000152590214416e-05,27.872357100000002,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",86.23389925000001,Guest House,539811080,way,224537125,30,restaurant,NP-P3,,Guest House,Bigu-01,नेपाल,np,दोलखा,,Chetchet,,,,Bigu,,,,NH28,बागमती प्रदेश,,,Lamabagar
"Feature-Barhabise to TshoRolpa (Line 3, Point 1)           ",MultiLineString,86.2355,27.8721,dataset/raw/Barhabise to TshoRolpa.json,amenity,"['27.8723352', '27.8723790', '86.2338728', '86.2339257']",amenity,"Guest House, NH28, Chetchet, Bigu-01, Lamabagar, Bigu, दोलखा, बागमती प्रदेश, नेपाल",5.000152590214416e-05,27.872357100000002,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",86.23389925000001,Guest House,539811080,way,224537125,30,restaurant,NP-P3,,Guest House,Bigu-01,नेपाल,np,दोलखा,,Chetchet,,,,Bigu,,,,NH28,बागमती प्रदेश,,,Lamabagar
"Feature-Barhabise to TshoRolpa (Line 3, Point 2)           ",MultiLineString,86.2369,27.8729,dataset/raw/Barhabise to TshoRolpa.json,amenity,"['27.8723352', '27.8723790', '86.2338728', '86.2339257']",amenity,"Guest House, NH28, Chetchet, Bigu-01, Lamabagar, Bigu, दोलखा, बागमती प्रदेश, नेपाल",5.000152590214416e-05,27.872357100000002,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",86.23389925000001,Guest House,539811080,way,224537125,30,restaurant,NP-P3,,Guest House,Bigu-01,नेपाल,np,दोलखा,,Chetchet,,,,Bigu,,,,NH28,बागमती प्रदेश,,,Lamabagar
"Feature-Barhabise to TshoRolpa (Line 4, Point 1)           ",MultiLineString,86.2355,27.8721,dataset/raw/Barhabise to TshoRolpa.json,amenity,"['27.8723352', '27.8723790', '86.2338728', '86.2339257']",amenity,"Guest House, NH28, Chetchet, Bigu-01, Lamabagar, Bigu, दोलखा, बागमती प्रदेश, नेपाल",5.000152590214416e-05,27.872357100000002,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",86.23389925000001,Guest House,539811080,way,224537125,30,restaurant,NP-P3,,Guest House,Bigu-01,नेपाल,np,दोलखा,,Chetchet,,,,Bigu,,,,NH28,बागमती प्रदेश,,,Lamabagar
"Feature-Barhabise to TshoRolpa (Line 4, Point 2)           ",MultiLineString,86.2356,27.872,dataset/raw/Barhabise to TshoRolpa.json,amenity,"['27.8723352', '27.8723790', '86.2338728', '86.2339257']",amenity,"Guest House, NH28, Chetchet, Bigu-01, Lamabagar, Bigu, दोलखा, बागमती प्रदेश, नेपाल",5.000152590214416e-05,27.872357100000002,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",86.23389925000001,Guest House,539811080,way,224537125,30,restaurant,NP-P3,,Guest House,Bigu-01,नेपाल,np,दोलखा,,Chetchet,,,,Bigu,,,,NH28,बागमती प्रदेश,,,Lamabagar
"Feature-Barhabise to TshoRolpa (Line 4, Point 3)           ",MultiLineString,86.2369,27.8729,dataset/raw/Barhabise to TshoRolpa.json,amenity,"['27.8723352', '27.8723790', '86.2338728', '86.2339257']",amenity,"Guest House, NH28, Chetchet, Bigu-01, Lamabagar, Bigu, दोलखा, बागमती प्रदेश, नेपाल",5.000152590214416e-05,27.872357100000002,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",86.23389925000001,Guest House,539811080,way,224537125,30,restaurant,NP-P3,,Guest House,Bigu-01,नेपाल,np,दोलखा,,Chetchet,,,,Bigu,,,,NH28,बागमती प्रदेश,,,Lamabagar
"Feature-Barhabise to TshoRolpa (Line 5, Point 1)           ",MultiLineString,86.2369,27.8729,dataset/raw/Barhabise to TshoRolpa.json,amenity,"['27.8723352', '27.8723790', '86.2338728', '86.2339257']",amenity,"Guest House, NH28, Chetchet, Bigu-01, Lamabagar, Bigu, दोलखा, बागमती प्रदेश, नेपाल",5.000152590214416e-05,27.872357100000002,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",86.23389925000001,Guest House,539811080,way,224537125,30,restaurant,NP-P3,,Guest House,Bigu-01,नेपाल,np,दोलखा,,Chetchet,,,,Bigu,,,,NH28,बागमती प्रदेश,,,Lamabagar
"Feature-Barhabise to TshoRolpa (Line 5, Point 2)           ",MultiLineString,86.241,27.8756,dataset/raw/Barhabise to TshoRolpa.json,isolated_dwelling,"['27.8861905', '27.8862905', '86.2445945', '86.2446945']",place,"Bamboo Bhatti, Gaurishankar-09, Gaurishankar, दोलखा, बागमती प्रदेश, नेपाल",0.10671666819256884,27.8862405,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",86.2446445,Bamboo Bhatti,5223183087,node,225685511,22,isolated_dwelling,NP-P3,,,Gaurishankar-09,नेपाल,np,दोलखा,,,,Bamboo Bhatti,,Gaurishankar,,,,,बागमती प्रदेश,,,
"Feature-Barhabise to TshoRolpa (Line 6, Point 1)           ",MultiLineString,86.2369,27.8729,dataset/raw/Barhabise to TshoRolpa.json,amenity,"['27.8723352', '27.8723790', '86.2338728', '86.2339257']",amenity,"Guest House, NH28, Chetchet, Bigu-01, Lamabagar, Bigu, दोलखा, बागमती प्रदेश, नेपाल",5.000152590214416e-05,27.872357100000002,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",86.23389925000001,Guest House,539811080,way,224537125,30,restaurant,NP-P3,,Guest House,Bigu-01,नेपाल,np,दोलखा,,Chetchet,,,,Bigu,,,,NH28,बागमती प्रदेश,,,Lamabagar
"Feature-Barhabise to TshoRolpa (Line 6, Point 2)           ",MultiLineString,86.247,27.8788,dataset/raw/Barhabise to TshoRolpa.json,isolated_dwelling,"['27.8861905', '27.8862905', '86.2445945', '86.2446945']",place,"Bamboo Bhatti, Gaurishankar-09, Gaurishankar, दोलखा, बागमती प्रदेश, नेपाल",0.10671666819256884,27.8862405,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",86.2446445,Bamboo Bhatti,5223183087,node,225685511,22,isolated_dwelling,NP-P3,,,Gaurishankar-09,नेपाल,np,दोलखा,,,,Bamboo Bhatti,,Gaurishankar,,,,,बागमती प्रदेश,,,
"Feature-Barhabise to TshoRolpa (Line 6, Point 3)           ",MultiLineString,86.2632,27.8856,dataset/raw/Barhabise to TshoRolpa.json,tourism,"['27.8878072', '27.8879072', '86.2582597', '86.2583597']",tourism,"Surmuche Hotel, NH28, Chetchet, Bigu-01, Lamabagar, Bigu, दोलखा, बागमती प्रदेश, नेपाल",5.000152590214416e-05,27.8878572,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",86.2583097,Surmuche Hotel,11342719569,node,224015837,30,hotel,NP-P3,,,Bigu-01,नेपाल,np,दोलखा,,Chetchet,,,,Bigu,,,,NH28,बागमती प्रदेश,Surmuche Hotel,,Lamabagar
